Request id,Pickup point,Driver id,Status,Request,Hrs,Min,Sec,Drop timestamp,Timeslot,Demand,Supply,Gap
5568,Airport,9,Trip Completed,15-07-2016 00:00,5,47,49,15-07-2016 06:25,Early Morning,Demand,Supply,
5994,Airport,9,Trip Completed,15-07-2016 00:00,11,51,16,15-07-2016 12:32,Morning,Demand,Supply,
1809,Airport,10,Trip Completed,12-07-2016 00:00,9,13,0,12-07-2016 10:01,Morning,Demand,Supply,
2064,Airport,10,Trip Completed,12-07-2016 00:00,15,8,0,12-07-2016 16:14,Afternoon,Demand,Supply,
3210,City,10,Trip Completed,13-07-2016 00:00,9,47,6,13-07-2016 10:52,Morning,Demand,Supply,
4350,City,10,Trip Completed,14-07-2016 00:00,7,24,43,14-07-2016 08:22,Morning,Demand,Supply,
4713,City,10,Trip Completed,14-07-2016 00:00,13,31,24,14-07-2016 14:10,Afternoon,Demand,Supply,
5629,Airport,10,Trip Completed,15-07-2016 00:00,6,33,0,15-07-2016 07:19,Early Morning,Demand,Supply,
6157,Airport,10,Trip Completed,15-07-2016 00:00,16,32,51,15-07-2016 17:44,Afternoon,Demand,Supply,
2030,City,11,Trip Completed,12-07-2016 00:00,14,11,0,12-07-2016 15:02,Afternoon,Demand,Supply,
3226,City,11,Trip Completed,13-07-2016 00:00,10,0,17,13-07-2016 11:02,Morning,Demand,Supply,
3353,City,11,Trip Completed,13-07-2016 00:00,13,29,44,13-07-2016 14:09,Afternoon,Demand,Supply,
4293,City,11,Trip Completed,14-07-2016 00:00,6,42,36,14-07-2016 07:12,Early Morning,Demand,Supply,
4936,City,11,Trip Completed,14-07-2016 00:00,18,22,17,14-07-2016 19:14,Evening,Demand,Supply,
5661,Airport,11,Trip Completed,15-07-2016 00:00,7,8,50,15-07-2016 07:59,Morning,Demand,Supply,
5778,City,11,Trip Completed,15-07-2016 00:00,8,22,3,15-07-2016 09:13,Morning,Demand,Supply,
6425,Airport,11,Trip Completed,15-07-2016 00:00,19,46,40,15-07-2016 20:26,Evening,Demand,Supply,
45,Airport,12,Trip Completed,11-07-2016 00:00,3,17,0,11-07-2016 04:09,Late Night,Demand,Supply,
264,City,12,Trip Completed,11-07-2016 00:00,6,51,0,11-07-2016 07:40,Early Morning,Demand,Supply,
1183,City,12,Trip Completed,11-07-2016 00:00,21,5,0,11-07-2016 21:38,Night,Demand,Supply,
1536,Airport,12,Trip Completed,12-07-2016 00:00,5,59,0,12-07-2016 06:59,Early Morning,Demand,Supply,
2437,City,12,Trip Completed,12-07-2016 00:00,20,18,0,12-07-2016 21:26,Evening,Demand,Supply,
2641,Airport,12,Trip Completed,12-07-2016 00:00,22,28,0,12-07-2016 23:05,Night,Demand,Supply,
4077,Airport,12,Trip Completed,14-07-2016 00:00,2,14,15,14-07-2016 03:13,Late Night,Demand,Supply,
4610,City,12,Trip Completed,14-07-2016 00:00,10,35,14,14-07-2016 11:39,Morning,Demand,Supply,
5066,Airport,12,Trip Completed,14-07-2016 00:00,19,31,20,14-07-2016 20:14,Evening,Demand,Supply,
5666,Airport,12,Trip Completed,15-07-2016 00:00,7,4,55,15-07-2016 08:12,Morning,Demand,Supply,
5923,City,12,Trip Completed,15-07-2016 00:00,10,7,49,15-07-2016 10:50,Morning,Demand,Supply,
6367,City,12,Trip Completed,15-07-2016 00:00,19,4,46,15-07-2016 19:46,Evening,Demand,Supply,
155,City,13,Trip Completed,11-07-2016 00:00,5,32,0,11-07-2016 06:28,Early Morning,Demand,Supply,
310,Airport,13,Trip Completed,11-07-2016 00:00,7,24,0,11-07-2016 08:28,Morning,Demand,Supply,
607,City,13,Trip Completed,11-07-2016 00:00,11,51,0,11-07-2016 12:42,Morning,Demand,Supply,
1012,City,13,Trip Completed,11-07-2016 00:00,19,15,0,11-07-2016 19:57,Evening,Demand,Supply,
1696,Airport,13,Trip Completed,12-07-2016 00:00,8,1,0,12-07-2016 08:42,Morning,Demand,Supply,
3076,City,13,Trip Completed,13-07-2016 00:00,8,9,4,13-07-2016 09:12,Morning,Demand,Supply,
4198,Airport,13,Trip Completed,14-07-2016 00:00,5,32,14,14-07-2016 06:45,Early Morning,Demand,Supply,
4627,City,13,Trip Completed,14-07-2016 00:00,11,13,19,14-07-2016 12:00,Morning,Demand,Supply,
5289,City,13,Trip Completed,14-07-2016 00:00,21,43,24,14-07-2016 22:24,Night,Demand,Supply,
5495,Airport,13,Trip Completed,15-07-2016 00:00,5,0,13,15-07-2016 06:02,Early Morning,Demand,Supply,
6656,Airport,13,Trip Completed,15-07-2016 00:00,22,8,42,15-07-2016 22:41,Night,Demand,Supply,
139,Airport,14,Trip Completed,11-07-2016 00:00,5,21,0,11-07-2016 06:09,Early Morning,Demand,Supply,
215,City,14,Trip Completed,11-07-2016 00:00,6,15,0,11-07-2016 07:07,Early Morning,Demand,Supply,
1816,City,14,Trip Completed,12-07-2016 00:00,9,24,0,12-07-2016 10:07,Morning,Demand,Supply,
2505,Airport,14,Trip Completed,12-07-2016 00:00,21,3,0,12-07-2016 22:14,Night,Demand,Supply,
3346,City,14,Trip Completed,13-07-2016 00:00,13,1,42,13-07-2016 13:55,Afternoon,Demand,Supply,
5294,City,14,Trip Completed,14-07-2016 00:00,21,45,50,14-07-2016 22:16,Night,Demand,Supply,
6226,Airport,14,Trip Completed,15-07-2016 00:00,17,34,25,15-07-2016 18:33,Afternoon,Demand,Supply,
6733,Airport,14,Trip Completed,15-07-2016 00:00,23,32,44,16-07-2016 00:37,Night,Demand,Supply,
1027,Airport,15,Trip Completed,11-07-2016 00:00,19,18,0,11-07-2016 20:24,Evening,Demand,Supply,
2675,Airport,15,Trip Completed,12-07-2016 00:00,23,43,0,13-07-2016 00:35,Night,Demand,Supply,
3200,City,15,Trip Completed,13-07-2016 00:00,9,39,44,13-07-2016 10:30,Morning,Demand,Supply,
3865,City,15,Trip Completed,13-07-2016 00:00,21,52,5,13-07-2016 22:21,Night,Demand,Supply,
4468,City,15,Trip Completed,14-07-2016 00:00,8,42,46,14-07-2016 09:22,Morning,Demand,Supply,
5163,Airport,15,Trip Completed,14-07-2016 00:00,20,34,30,14-07-2016 21:05,Evening,Demand,Supply,
6009,City,15,Trip Completed,15-07-2016 00:00,12,22,35,15-07-2016 13:25,Morning,Demand,Supply,
6448,Airport,15,Trip Completed,15-07-2016 00:00,20,2,54,15-07-2016 20:40,Evening,Demand,Supply,
591,City,16,Trip Completed,11-07-2016 00:00,11,25,0,11-07-2016 12:31,Morning,Demand,Supply,
709,City,16,Trip Completed,11-07-2016 00:00,14,16,0,11-07-2016 15:03,Afternoon,Demand,Supply,
1167,Airport,16,Trip Completed,11-07-2016 00:00,20,50,0,11-07-2016 21:52,Evening,Demand,Supply,
2661,Airport,16,Trip Completed,12-07-2016 00:00,23,23,0,13-07-2016 00:27,Night,Demand,Supply,
2808,City,16,Trip Completed,13-07-2016 00:00,5,5,16,13-07-2016 05:56,Early Morning,Demand,Supply,
3258,Airport,16,Trip Completed,13-07-2016 00:00,10,12,51,13-07-2016 10:45,Morning,Demand,Supply,
3413,Airport,16,Trip Completed,13-07-2016 00:00,15,32,1,13-07-2016 16:45,Afternoon,Demand,Supply,
3939,Airport,16,Trip Completed,13-07-2016 00:00,22,26,26,13-07-2016 22:55,Night,Demand,Supply,
4125,City,16,Trip Completed,14-07-2016 00:00,4,37,11,14-07-2016 05:46,Early Morning,Demand,Supply,
4457,City,16,Trip Completed,14-07-2016 00:00,8,36,24,14-07-2016 09:19,Morning,Demand,Supply,
4728,City,16,Trip Completed,14-07-2016 00:00,14,4,13,14-07-2016 15:06,Afternoon,Demand,Supply,
5347,Airport,16,Trip Completed,14-07-2016 00:00,22,51,47,14-07-2016 23:53,Night,Demand,Supply,
6147,City,16,Trip Completed,15-07-2016 00:00,16,11,2,15-07-2016 17:30,Afternoon,Demand,Supply,
6496,Airport,16,Trip Completed,15-07-2016 00:00,20,33,0,15-07-2016 21:32,Evening,Demand,Supply,
634,City,17,Trip Completed,11-07-2016 00:00,12,25,0,11-07-2016 13:06,Morning,Demand,Supply,
939,Airport,17,Trip Completed,11-07-2016 00:00,18,25,0,11-07-2016 19:26,Evening,Demand,Supply,
2628,Airport,17,Trip Completed,12-07-2016 00:00,22,10,0,12-07-2016 23:25,Night,Demand,Supply,
3021,City,17,Trip Completed,13-07-2016 00:00,7,33,20,13-07-2016 08:26,Morning,Demand,Supply,
4743,City,17,Trip Completed,14-07-2016 00:00,14,54,16,14-07-2016 15:39,Afternoon,Demand,Supply,
4981,City,17,Trip Completed,14-07-2016 00:00,18,47,42,14-07-2016 19:43,Evening,Demand,Supply,
5367,Airport,17,Trip Completed,14-07-2016 00:00,23,35,34,15-07-2016 00:25,Night,Demand,Supply,
5471,Airport,17,Trip Completed,15-07-2016 00:00,4,48,57,15-07-2016 05:47,Early Morning,Demand,Supply,
5988,Airport,17,Trip Completed,15-07-2016 00:00,11,48,32,15-07-2016 12:55,Morning,Demand,Supply,
6477,Airport,17,Trip Completed,15-07-2016 00:00,20,21,26,15-07-2016 21:00,Evening,Demand,Supply,
499,City,18,Trip Completed,11-07-2016 00:00,9,39,0,11-07-2016 10:16,Morning,Demand,Supply,
1147,Airport,18,Trip Completed,11-07-2016 00:00,20,42,0,11-07-2016 21:18,Evening,Demand,Supply,
1410,Airport,18,Trip Completed,12-07-2016 00:00,3,14,0,12-07-2016 04:27,Late Night,Demand,Supply,
1804,Airport,18,Trip Completed,12-07-2016 00:00,9,12,0,12-07-2016 09:57,Morning,Demand,Supply,
1949,Airport,18,Trip Completed,12-07-2016 00:00,11,32,0,12-07-2016 12:13,Morning,Demand,Supply,
2713,City,18,Trip Completed,13-07-2016 00:00,1,46,42,13-07-2016 02:37,Late Night,Demand,Supply,
2845,City,18,Trip Completed,13-07-2016 00:00,5,28,29,13-07-2016 06:10,Early Morning,Demand,Supply,
3943,Airport,18,Trip Completed,13-07-2016 00:00,22,35,38,13-07-2016 23:33,Night,Demand,Supply,
4792,City,18,Trip Completed,14-07-2016 00:00,16,47,15,14-07-2016 17:34,Afternoon,Demand,Supply,
5207,Airport,18,Trip Completed,14-07-2016 00:00,20,57,41,14-07-2016 21:56,Evening,Demand,Supply,
5890,City,18,Trip Completed,15-07-2016 00:00,9,43,57,15-07-2016 10:55,Morning,Demand,Supply,
494,City,19,Trip Completed,11-07-2016 00:00,9,36,0,11-07-2016 10:02,Morning,Demand,Supply,
1485,City,19,Trip Completed,12-07-2016 00:00,5,21,0,12-07-2016 06:35,Early Morning,Demand,Supply,
2042,City,19,Trip Completed,12-07-2016 00:00,14,30,0,12-07-2016 15:09,Afternoon,Demand,Supply,
2561,Airport,19,Trip Completed,12-07-2016 00:00,21,29,0,12-07-2016 22:44,Night,Demand,Supply,
3813,Airport,19,Trip Completed,13-07-2016 00:00,21,6,57,13-07-2016 21:46,Night,Demand,Supply,
4260,Airport,19,Trip Completed,14-07-2016 00:00,6,11,51,14-07-2016 06:59,Early Morning,Demand,Supply,
4395,City,19,Trip Completed,14-07-2016 00:00,8,0,15,14-07-2016 08:54,Morning,Demand,Supply,
5919,City,19,Trip Completed,15-07-2016 00:00,10,3,42,15-07-2016 10:59,Morning,Demand,Supply,
6002,Airport,19,Trip Completed,15-07-2016 00:00,12,4,15,15-07-2016 12:53,Morning,Demand,Supply,
468,City,20,Trip Completed,11-07-2016 00:00,9,20,0,11-07-2016 10:05,Morning,Demand,Supply,
693,Airport,20,Trip Completed,11-07-2016 00:00,13,51,0,11-07-2016 15:01,Afternoon,Demand,Supply,
1178,City,20,Trip Completed,11-07-2016 00:00,21,5,0,11-07-2016 22:06,Night,Demand,Supply,
2103,City,20,Trip Completed,12-07-2016 00:00,16,8,0,12-07-2016 17:18,Afternoon,Demand,Supply,
2292,Airport,20,Trip Completed,12-07-2016 00:00,18,46,0,12-07-2016 19:23,Evening,Demand,Supply,
3339,City,20,Trip Completed,13-07-2016 00:00,12,40,58,13-07-2016 13:30,Morning,Demand,Supply,
3694,City,20,Trip Completed,13-07-2016 00:00,19,33,19,13-07-2016 20:35,Evening,Demand,Supply,
4469,City,20,Trip Completed,14-07-2016 00:00,8,45,13,14-07-2016 09:48,Morning,Demand,Supply,
6432,City,20,Trip Completed,15-07-2016 00:00,19,50,57,15-07-2016 20:30,Evening,Demand,Supply,
1895,City,21,Trip Completed,12-07-2016 00:00,10,20,0,12-07-2016 10:52,Morning,Demand,Supply,
1981,Airport,21,Trip Completed,12-07-2016 00:00,12,23,0,12-07-2016 12:56,Morning,Demand,Supply,
3744,Airport,21,Trip Completed,13-07-2016 00:00,20,28,11,13-07-2016 21:22,Evening,Demand,Supply,
4433,Airport,21,Trip Completed,14-07-2016 00:00,8,26,32,14-07-2016 09:12,Morning,Demand,Supply,
6039,Airport,21,Trip Completed,15-07-2016 00:00,13,11,4,15-07-2016 13:38,Afternoon,Demand,Supply,
6543,City,21,Trip Completed,15-07-2016 00:00,20,54,20,15-07-2016 22:12,Evening,Demand,Supply,
110,City,22,Trip Completed,11-07-2016 00:00,5,5,0,11-07-2016 06:06,Early Morning,Demand,Supply,
362,City,22,Trip Completed,11-07-2016 00:00,8,1,0,11-07-2016 09:18,Morning,Demand,Supply,
666,Airport,22,Trip Completed,11-07-2016 00:00,13,2,0,11-07-2016 13:45,Afternoon,Demand,Supply,
926,City,22,Trip Completed,11-07-2016 00:00,18,28,0,11-07-2016 19:34,Evening,Demand,Supply,
1180,Airport,22,Trip Completed,11-07-2016 00:00,21,1,0,11-07-2016 22:14,Night,Demand,Supply,
1900,City,22,Trip Completed,12-07-2016 00:00,10,32,0,12-07-2016 11:42,Morning,Demand,Supply,
2506,City,22,Trip Completed,12-07-2016 00:00,21,1,0,12-07-2016 21:38,Night,Demand,Supply,
3064,City,22,Trip Completed,13-07-2016 00:00,8,2,3,13-07-2016 08:58,Morning,Demand,Supply,
3327,Airport,22,Trip Completed,13-07-2016 00:00,12,24,41,13-07-2016 13:23,Morning,Demand,Supply,
3601,City,22,Trip Completed,13-07-2016 00:00,18,39,0,13-07-2016 19:29,Evening,Demand,Supply,
4768,Airport,22,Trip Completed,14-07-2016 00:00,15,39,24,14-07-2016 16:49,Afternoon,Demand,Supply,
5142,City,22,Trip Completed,14-07-2016 00:00,20,17,51,14-07-2016 20:48,Evening,Demand,Supply,
5366,Airport,22,Trip Completed,14-07-2016 00:00,23,27,22,15-07-2016 00:19,Night,Demand,Supply,
5575,City,22,Trip Completed,15-07-2016 00:00,5,53,55,15-07-2016 06:50,Early Morning,Demand,Supply,
5902,City,22,Trip Completed,15-07-2016 00:00,9,52,57,15-07-2016 10:37,Morning,Demand,Supply,
6694,Airport,22,Trip Completed,15-07-2016 00:00,22,45,44,15-07-2016 23:17,Night,Demand,Supply,
523,Airport,23,Trip Completed,11-07-2016 00:00,9,48,0,11-07-2016 10:37,Morning,Demand,Supply,
747,City,23,Trip Completed,11-07-2016 00:00,15,53,0,11-07-2016 16:43,Afternoon,Demand,Supply,
1371,Airport,23,Trip Completed,12-07-2016 00:00,0,22,0,12-07-2016 01:33,Late Night,Demand,Supply,
1553,City,23,Trip Completed,12-07-2016 00:00,6,9,0,12-07-2016 07:09,Early Morning,Demand,Supply,
1692,Airport,23,Trip Completed,12-07-2016 00:00,7,52,0,12-07-2016 09:01,Morning,Demand,Supply,
2114,City,23,Trip Completed,12-07-2016 00:00,16,36,0,12-07-2016 17:21,Afternoon,Demand,Supply,
2742,City,23,Trip Completed,13-07-2016 00:00,3,7,37,13-07-2016 03:51,Late Night,Demand,Supply,
4273,City,23,Trip Completed,14-07-2016 00:00,6,17,1,14-07-2016 07:02,Early Morning,Demand,Supply,
4668,City,23,Trip Completed,14-07-2016 00:00,12,25,2,14-07-2016 13:34,Morning,Demand,Supply,
5425,City,23,Trip Completed,15-07-2016 00:00,2,23,56,15-07-2016 03:08,Late Night,Demand,Supply,
5488,City,23,Trip Completed,15-07-2016 00:00,4,53,42,15-07-2016 06:00,Early Morning,Demand,Supply,
5781,City,23,Trip Completed,15-07-2016 00:00,8,35,47,15-07-2016 09:42,Morning,Demand,Supply,
5966,Airport,23,Trip Completed,15-07-2016 00:00,10,54,27,15-07-2016 11:58,Morning,Demand,Supply,
6122,City,23,Trip Completed,15-07-2016 00:00,15,26,6,15-07-2016 16:29,Afternoon,Demand,Supply,
357,Airport,24,Trip Completed,11-07-2016 00:00,8,0,0,11-07-2016 09:08,Morning,Demand,Supply,
1068,City,24,Trip Completed,11-07-2016 00:00,19,52,0,11-07-2016 20:48,Evening,Demand,Supply,
2689,Airport,24,Trip Completed,13-07-2016 00:00,0,34,3,13-07-2016 01:49,Late Night,Demand,Supply,
2791,City,24,Trip Completed,13-07-2016 00:00,4,56,20,13-07-2016 05:33,Early Morning,Demand,Supply,
3321,City,24,Trip Completed,13-07-2016 00:00,12,23,2,13-07-2016 13:25,Morning,Demand,Supply,
3423,Airport,24,Trip Completed,13-07-2016 00:00,15,52,7,13-07-2016 16:50,Afternoon,Demand,Supply,
3761,Airport,24,Trip Completed,13-07-2016 00:00,20,35,24,13-07-2016 21:39,Evening,Demand,Supply,
4140,City,24,Trip Completed,14-07-2016 00:00,4,48,9,14-07-2016 06:05,Early Morning,Demand,Supply,
4656,City,24,Trip Completed,14-07-2016 00:00,12,6,27,14-07-2016 12:49,Morning,Demand,Supply,
4931,Airport,24,Trip Completed,14-07-2016 00:00,18,21,52,14-07-2016 18:54,Evening,Demand,Supply,
5268,City,24,Trip Completed,14-07-2016 00:00,21,29,35,14-07-2016 22:30,Night,Demand,Supply,
5811,City,24,Trip Completed,15-07-2016 00:00,8,46,30,15-07-2016 09:26,Morning,Demand,Supply,
6139,Airport,24,Trip Completed,15-07-2016 00:00,15,45,16,15-07-2016 16:40,Afternoon,Demand,Supply,
6333,Airport,24,Trip Completed,15-07-2016 00:00,18,41,22,15-07-2016 19:53,Evening,Demand,Supply,
773,City,25,Trip Completed,11-07-2016 00:00,16,23,0,11-07-2016 17:21,Afternoon,Demand,Supply,
1123,City,25,Trip Completed,11-07-2016 00:00,20,20,0,11-07-2016 21:18,Evening,Demand,Supply,
2667,Airport,25,Trip Completed,12-07-2016 00:00,23,35,0,13-07-2016 00:40,Night,Demand,Supply,
